wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
546,0.9704,0.9938,0.9900,0.9940,0.7228,0.7099,0.8800,0.4443,0.4285
547,0.9709,0.9939,0.9900,0.9940,0.7258,0.7099,0.8800,0.4462,0.4306
548,0.9714,0.9939,0.9900,0.9940,0.7289,0.7099,0.8800,0.4481,0.4326
549,0.9718,0.9940,0.9900,0.9940,0.7319,0.7099,0.8800,0.4499,0.4346
550,0.9723,0.9940,0.9900,0.9940,0.7348,0.7099,0.8800,0.4517,0.4366
551,0.9726,0.9940,0.9900,0.9940,0.7378,0.7099,0.8800,0.4535,0.4385
552,0.9729,0.9940,0.9900,0.9939,0.7408,0.7099,0.8800,0.4553,0.4404
553,0.9732,0.9940,0.9900,0.9939,0.7437,0.7099,0.8800,0.4571,0.4422
554,0.9735,0.9940,0.9900,0.9938,0.7466,0.7099,0.8800,0.4589,0.4441
555,0.9739,0.9940,0.9900,0.9938,0.7495,0.7099,0.8800,0.4607,0.4459
556,0.9742,0.9940,0.9900,0.9938,0.7524,0.7099,0.8800,0.4624,0.4478
557,0.9745,0.9940,0.9900,0.9937,0.7553,0.7099,0.8800,0.4642,0.4496
558,0.9748,0.9940,0.9900,0.9937,0.7581,0.7099,0.8800,0.4659,0.4514
559,0.9751,0.9940,0.9900,0.9937,0.7609,0.7099,0.8800,0.4676,0.4532
560,0.9754,0.9940,0.9900,0.9936,0.7637,0.7099,0.8800,0.4693,0.4550
561,0.9757,0.9940,0.9900,0.9936,0.7665,0.7099,0.8800,0.4710,0.4568
562,0.9761,0.9940,0.9900,0.9935,0.7692,0.7099,0.8800,0.4727,0.4586
563,0.9764,0.9940,0.9900,0.9935,0.7720,0.7099,0.8800,0.4743,0.4603
564,0.9767,0.9940,0.9900,0.9935,0.7747,0.7099,0.8800,0.4760,0.4621
565,0.9770,0.9940,0.9900,0.9934,0.7774,0.7099,0.8800,0.4776,0.4638
566,0.9773,0.9940,0.9900,0.9934,0.7800,0.7099,0.8800,0.4792,0.4655
567,0.9776,0.9940,0.9900,0.9933,0.7827,0.7099,0.8800,0.4808,0.4672
568,0.9779,0.9940,0.9900,0.9933,0.7853,0.7099,0.8800,0.4824,0.4689
569,0.9783,0.9940,0.9900,0.9933,0.7879,0.7099,0.8800,0.4840,0.4706
570,0.9786,0.9940,0.9900,0.9932,0.7905,0.7099,0.8800,0.4856,0.4723
571,0.9789,0.9940,0.9900,0.9932,0.7930,0.7099,0.8800,0.4871,0.4740
572,0.9792,0.9940,0.9900,0.9931,0.7956,0.7099,0.8800,0.4886,0.4756
573,0.9795,0.9940,0.9900,0.9931,0.7981,0.7099,0.8800,0.4902,0.4772
574,0.9798,0.9940,0.9900,0.9931,0.8005,0.7099,0.8800,0.4917,0.4789
575,0.9801,0.9940,0.9900,0.9930,0.8030,0.7099,0.8800,0.4931,0.4805
576,0.9803,0.9940,0.9900,0.9930,0.8054,0.7099,0.8800,0.4946,0.4820
577,0.9805,0.9940,0.9900,0.9929,0.8078,0.7099,0.8800,0.4961,0.4835
578,0.9806,0.9940,0.9900,0.9929,0.8102,0.7099,0.8800,0.4975,0.4849
579,0.9808,0.9940,0.9900,0.9929,0.8126,0.7099,0.8800,0.4989,0.4864
580,0.9809,0.9940,0.9900,0.9928,0.8149,0.7099,0.8800,0.5003,0.4879
581,0.9811,0.9940,0.9900,0.9928,0.8172,0.7099,0.8805,0.5020,0.4896
582,0.9813,0.9940,0.9900,0.9927,0.8195,0.7099,0.8810,0.5037,0.4913
583,0.9814,0.9940,0.9900,0.9927,0.8217,0.7099,0.8815,0.5053,0.4930
584,0.9816,0.9940,0.9900,0.9927,0.8239,0.7099,0.8820,0.5070,0.4946
585,0.9817,0.9940,0.9900,0.9926,0.8261,0.7099,0.8825,0.5086,0.4963
586,0.9819,0.9940,0.9900,0.9926,0.8283,0.7099,0.8830,0.5102,0.4979
587,0.9820,0.9940,0.9900,0.9925,0.8304,0.7099,0.8835,0.5118,0.4996
588,0.9822,0.9940,0.9900,0.9925,0.8325,0.7099,0.8840,0.5133,0.5012
589,0.9824,0.9940,0.9900,0.9925,0.8346,0.7099,0.8845,0.5149,0.5028
590,0.9825,0.9940,0.9900,0.9924,0.8367,0.7099,0.8850,0.5164,0.5043
591,0.9827,0.9940,0.9900,0.9924,0.8387,0.7099,0.8855,0.5179,0.5059
592,0.9828,0.9940,0.9900,0.9923,0.8407,0.7099,0.8860,0.5194,0.5075
593,0.9830,0.9940,0.9900,0.9923,0.8426,0.7099,0.8865,0.5209,0.5090
594,0.9831,0.9940,0.9900,0.9923,0.8446,0.7099,0.8870,0.5224,0.5105
595,0.9833,0.9940,0.9900,0.9922,0.8465,0.7099,0.8875,0.5238,0.5120
596,0.9835,0.9940,0.9900,0.9922,0.8483,0.7099,0.8880,0.5253,0.5135
597,0.9836,0.9940,0.9900,0.9921,0.8502,0.7099,0.8885,0.5267,0.5150
598,0.9838,0.9940,0.9900,0.9921,0.8520,0.7099,0.8890,0.5281,0.5164
599,0.9839,0.9940,0.9900,0.9921,0.8538,0.7099,0.8895,0.5295,0.5178
600,0.9841,0.9940,0.9900,0.9920,0.8555,0.7099,0.8900,0.5308,0.5193
601,0.9839,0.9940,0.9900,0.9920,0.8572,0.7099,0.8905,0.5322,0.5205
602,0.9838,0.9939,0.9899,0.9919,0.8589,0.7099,0.8910,0.5335,0.5216
